name,type,company_id,company_name,registration_date,status
JIRO KANEKO,Legal Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
MASATO KOIKE,Legal Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
TAKAFUMI SHIINA,Legal Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
JIRO KANEKO,Directors,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
MASATO KOIKE,Directors,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
TAKAFUMI SHIINA,Directors,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
JIRO KANEKO,Judicial Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
MASATO KOIKE,Judicial Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
TAKAFUMI SHIINA,Judicial Representatives,C 27437,AMMON SHIPPING LIMITED,"Dec 12, 2000",
